epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.001,0.5371017830530802,0.8059,0.3584674565315247,0.8693
2,0.0009890738003669028,0.324805647277832,0.8827333333333334,0.3067440721273422,0.8877
3,0.0009567727288213003,0.2828215941429138,0.8966333333333333,0.2817441532611847,0.8999
4,0.0009045084971874737,0.25163489837646486,0.9086333333333333,0.25652152724266053,0.9042
5,0.0008345653031794292,0.22737021497090656,0.91715,0.24994126484394075,0.9073
6,0.00075,0.20897571494579315,0.9241666666666667,0.23750087788105012,0.9137
7,0.0006545084971874737,0.197821812582016,0.9272833333333333,0.22877444972991942,0.9148
8,0.0005522642316338268,0.18195121243000031,0.9332833333333334,0.22400255856513976,0.9196
9,0.0004477357683661734,0.16784653015931447,0.9384833333333333,0.22552692317962647,0.9197
10,0.0003454915028125264,0.1569083424091339,0.94405,0.2260231594324112,0.9189
11,0.0002500000000000001,0.14831414837042492,0.9464333333333333,0.22537921960353852,0.9203
12,0.00016543469682057103,0.13902455707391104,0.9494666666666667,0.2192165078639984,0.9217
13,9.549150281252631e-05,0.13117632911205293,0.9531166666666666,0.2153150678873062,0.9238
14,4.322727117869951e-05,0.12937249019145966,0.95405,0.21651146099567414,0.9231
15,1.0926199633097156e-05,0.12671702956755956,0.95515,0.21509961161613464,0.9237
